Average wind speed (m/s) ,V39-Average Power (kW) ,GE 2.5-120-Average Power (kW) 
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,25
3.5,0,89
4,0,171
4.5,0,269
5,18,389
5.5,39,533
6,60,704
6.5,81.52,906
7,105,1136
7.5,134,1400
8,163,1674
8.5,197.5,1934
9,232,2160
9.5,270,2316
10,305,2416
10.5,340,2477
11,375,2514
11.5,407.5,2528
12,440,2530
12.5,459.83,2530
13,478,2530
13.5,485.5,2530
14,493,2530
14.5,495.87,2530
15,498.5,2530
15.5,499.1,2530
16,499.7,2530
16.5,499.85,2530
17,500,2530
17.5,500,2530
18,500,2530
18.5,500,2530
19,500,2530
19.5,500,2530
20,500,2530
20.5,500,2530
21,500,2530
21.5,500,2530
22,500,2530
22.5,500,2530
23,500,2530
23.5,500,2530
24,500,2530
24.5,500,2530
25,500,2530
25.5,0,0
26,0,0
26.5,0,0
27,0,0
27.5,0,0
28,0,0
28.5,0,0
29,0,0
29.5,0,0
30,0,0
50,0,0